##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
2102	140-144	-0.05234253674358058
2102	145-149	0.14372309952946694
2102	150-151	-0.001964954600950364
2103	1	-0.07920913942974295
2103	2	0.09252279410095099
2103	3	-0.05091092584629564
2103	4	-0.0582774020181418
2103	5	-0.04481032640170923
2103	6	-0.0929926190624144
2103	7	-0.0023558108873942274
2103	8	0.020286535825796648
2103	9	-0.19746127995338725
2103	10-14	-0.12044016339330454
2103	15-19	-0.09315372668295652
2103	20-24	0.08349676961174879
2103	25-29	0.2467636072403323
2103	30-34	-0.07787820725661732
2103	35-39	0.04184848169199995
2103	40-44	0.11530995259322196
2103	45-49	-0.069595627193344
2103	50-54	-0.09263433590077597
2103	55-59	-0.44244450643935096
2103	60-64	-0.08991940287319977
2103	65-69	-0.10768358834210545
2103	70-74	-0.35795705900333985
2103	75-79	-0.2408741927675777
2103	80-84	-0.15337598228599347
2103	85-89	-0.36343927755599026
2103	90-94	-0.257079210209767
2103	95-99	-0.2529317971965881
2103	100-104	-0.17047243744129048
2103	105-109	-0.2542683981622105
2103	110-114	-0.18808844150514403
2103	115-119	-0.2517110592000833
2103	120-124	-0.1831489128223467
2103	125-129	-0.4094051997066117
2103	130-134	-0.38958743292984366
2103	135-139	-0.06560686998916765
2103	140-144	-0.4330072280862822
2103	145-149	-0.14651242063980874
2103	150-151	-0.3914868980992843
2104	1	-0.240540134042611
2104	2	0.017537672750485456
2104	3	0.07406215009412875
2104	4	-0.05876787554027629
2104	5	-0.011290327873005879
2104	6	0.025982190621768098
2104	7	0.13184215202997507
2104	8	0.08659527542523904
2104	9	0.14542651846046084
2104	10-14	0.0457756177838462
2104	15-19	0.07326150792749786
2104	20-24	0.012712074937219597
2104	25-29	0.007411799418129306
2104	30-34	-0.09682514173893964
2104	35-39	0.03329333159903314
2104	40-44	-0.0702599764452998
2104	45-49	-0.08365708137557704
2104	50-54	-0.18899469988492257
2104	55-59	-0.6944879696736024
2104	60-64	-0.2968984194564115
2104	65-69	-0.21206001123350404
2104	70-74	-0.41460035855543964
2104	75-79	-0.32381642821089685
2104	80-84	0.16506162024042936
2104	85-89	-0.13345554398429726
2104	90-94	0.07231312895036979
2104	95-99	0.15265690020434874
2104	100-104	0.09071152354503198
2104	105-109	-0.024340921598131615
2104	110-114	-0.04663994368306135
2104	115-119	-0.0637696128244798
2104	120-124	0.1130912379395923
2104	125-129	-0.098894576762099
2104	130-134	-0.10139535924798082
2104	135-139	0.17790266310929326
2104	140-144	0.10435148146220996
2104	145-149	0.20857593480479864
2104	150-151	0.23276122983002878
2105	1	0.04884957951843205
2105	2	0.0133800716683794
2105	3	-0.03766623627873855
2105	4	0.0365583380415444
2105	5	-0.011725174304352493
2105	6	-0.015193158227290837
2105	7	0.04262138342927102
2105	8	0.09279137625196654
2105	9	0.004601124635385645
2105	10-14	-0.155796565718326
2105	15-19	-0.0988765825420046
2105	20-24	-0.29108447792871317
2105	25-29	-0.2014707977428074
2105	30-34	-0.2648012930056822
2105	35-39	0.01110054835825025
2105	40-44	-0.08256522755736029
2105	45-49	-0.08741770038726315
2105	50-54	-0.10526979705461059
2105	55-59	-0.43251226734138726
2105	60-64	-0.1651096399516092
2105	65-69	-0.24513841683386772
2105	70-74	-0.4762873216235022
2105	75-79	-0.32992566028682546
2105	80-84	0.012799045566161737
2105	85-89	-0.09685503007521135
2105	90-94	0.05682949823293626
2105	95-99	0.13280698506362398
2105	100-104	0.1891024551633933
2105	105-109	0.07211057526723863
2105	110-114	0.1957918739534108
2105	115-119	0.3431448208974075
2105	120-124	0.2533142342842396
2105	125-129	0.25134383023513607
2105	130-134	0.2687103931751764
2105	135-139	0.3583908175381154
2105	140-144	0.0216968826401569
2105	145-149	0.03745924639395781
2105	150-151	0.10615680206229428
2106	1	-0.21593250281004117
2106	2	0.032673929888822784
2106	3	-0.021235622047655056
2106	4	0.0357084629411446
2106	5	0.013231418810512707
2106	6	0.05112009388062688
2106	7	-0.02218495495549888
2106	8	0.06826055080559001
2106	9	0.07143104236401854
2106	10-14	-0.021520765891061444
2106	15-19	-0.003162516453301123
2106	20-24	-0.22664367382965622
2106	25-29	-0.4200390495701569
2106	30-34	-0.5187170970243287
2106	35-39	-0.15145009927420716
2106	40-44	-0.2302344299278829
2106	45-49	-0.13002884234146705
2106	50-54	-0.026514680822820935
2106	55-59	0.007561289212851818
2106	60-64	0.02445407368018948
2106	65-69	-0.08494522324020437
2106	70-74	-0.2574560046200247
2106	75-79	0.005774378959323201
2106	80-84	0.1101055474080681
2106	85-89	0.04682772475170083
2106	90-94	-0.08982485813284313
2106	95-99	-0.10924119286240597
2106	100-104	-0.19835475499460387
2106	105-109	-0.4462177176558768
2106	110-114	-0.42325578235389827
2106	115-119	-0.19483035055895215
2106	120-124	-0.2994820469399997
2106	125-129	-0.4540269871649585
2106	130-134	-0.45749182340153993
2106	135-139	-0.4463430127658299
2106	140-144	-0.04843664771384226
2106	145-149	-0.13315923174906175
2106	150-151	0.0019288161363988365
2107	1	-0.010174319095703765
2107	2	-0.18516506628667173
2107	3	-0.19913756108530123
2107	4	-0.07606912237040575
2107	5	-0.07519982326481767
2107	6	-0.13865567883276952
2107	7	-0.316546244175008
2107	8	-0.047811884665506454
2107	9	-0.013282169719893488
2107	10-14	-0.08874737851936487
2107	15-19	-0.03605115484369037
2107	20-24	-0.059781138822266655
2107	25-29	-0.21908049723337797
2107	30-34	2.1875755385991624E-4
2107	35-39	-0.005638130060539481
2107	40-44	0.03704085823390102
